trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.99004983374916811}",20,0,-137.97163133866752,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.98019867330675525}",25,5,-135.33146986042732,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",1
3,False,"{'a': 0.3, 'e': 0.97044553354850815}",20,0,-80.7743397253414,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.96078943915232318}",25,0,-153.23131828849702,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.95122942450071402}",20,0,-8.74329881684593,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.94176453358424872}",25,0,-130.27266224123602,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.93239381990594827}",25,0,-90.26504156783362,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.92311634638663576}",20,0,-105.63954640970222,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.91393118527122819}",30,0,-253.17984244097937,"{0: 15, 1: 2, 2: 6, 3: 4, 4: 3}",0
10,False,"{'a': 0.3, 'e': 0.90483741803595952}",25,0,-81.29879294477038,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.89583413529652822}",35,0,-270.4226755127053,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 5}",0
12,False,"{'a': 0.3, 'e': 0.88692043671715748}",20,6,-35.35530603620764,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",20,0,-137.12872351184697,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.86935823539880586}",30,0,-115.50562870212362,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.86070797642505781}",20,2,-53.56448425634342,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.85214378896621135}",20,0,-115.54223607695442,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.8436648165963837}",25,12,0.8221805818391996,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.835270211411272}",25,7,-48.22506874625353,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 0}",1
