trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99501247919268232}",20,0,-213.86365880896676,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.99004983374916811}",25,11,-207.13759236544087,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 4}",1
3,False,"{'a': 0.7, 'e': 0.98511193960306265}",25,0,-147.24042349153063,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.98019867330675525}",20,0,-156.56305079522804,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.97530991202833262}",25,0,-152.31594023402687,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.97044553354850815}",25,0,-161.79876651260847,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.96560541625756646}",20,0,-75.17041976825601,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.96078943915232318}",20,5,-59.698993163808886,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.95599748183309996}",30,0,-134.6968111227319,"{0: 12, 1: 8, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.95122942450071402}",30,0,-107.67492682205986,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.94648514795348382}",20,0,-95.70463045347013,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.94176453358424872}",20,0,-110.46587978404237,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.93706746337740343}",20,2,-121.33129331143637,"{0: 11, 1: 3, 2: 0, 3: 2, 4: 2}",1
14,False,"{'a': 0.7, 'e': 0.93239381990594827}",25,11,-39.77793655827836,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.92774348632855286}",20,0,-48.78379070287596,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.92311634638663576}",20,0,-157.75575772904457,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.91851228440145738}",30,0,-115.66069500146351,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.91393118527122819}",20,0,-129.27352596900238,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.90937293446823142}",30,8,-58.17752209953373,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.90483741803595952}",20,0,-77.05473466859345,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.90032452258626561}",20,3,-162.77103656944257,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 3}",1
22,False,"{'a': 0.7, 'e': 0.89583413529652822}",20,0,-189.9739530934462,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.7, 'e': 0.89136614390683133}",25,0,-98.36502927999592,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.88692043671715748}",20,0,-89.36472571390776,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.88249690258459546}",25,0,-225.3155097133764,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
26,False,"{'a': 0.7, 'e': 0.8780954309205613}",25,0,-93.07175244462965,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.87371591168803442}",20,8,-87.10039262220276,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 1}",1
28,False,"{'a': 0.7, 'e': 0.86935823539880586}",30,0,-121.93508681919407,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.7, 'e': 0.8650222931107413}",35,0,-287.47141976573164,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 5}",0
30,False,"{'a': 0.7, 'e': 0.86070797642505781}",20,0,-54.97407140268835,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.85641517748361351}",30,0,-117.55958101937476,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.85214378896621135}",20,0,-85.7433973159408,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.84789370408791587}",25,0,-110.57109796322047,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.7, 'e': 0.8436648165963837}",25,0,-73.48275639423116,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.83945702076920736}",20,0,-7.428280396279506,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.835270211411272}",30,2,-82.83515536801252,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 1}",1
37,False,"{'a': 0.7, 'e': 0.83110428385212565}",20,0,-133.71459067801246,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",1
