trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.77507216039587,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.36602498082976,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,13,-51.99248817251634,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,6,-40.531446042434524,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.26935742092084,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.28478990507836,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.60085752211177,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.7294410597653,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.5661430155976,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.29061636412888,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,11,-7.146966252064816,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.69492044001859,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.44052216187069,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.224152048690534,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.86813332596464,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.90908597429262,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-8.048560590416256,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.90942296342472,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.83045291637976,"{0: 13, 1: 5, 2: 2, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-80.2990811937138,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-68.21152989768274,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.94015856008987,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.21124644308935,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.45245877304498,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.6285086226547,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.82406360673001,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-277.6366319976687,"{0: 5, 1: 6, 2: 9, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,8,-170.65330864724706,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.68310303385607,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-250.71515910964425,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 5}",0
